app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
com.yahoo.mobile.client.android.flickr,c750db1b-559a-0583-41dc-2fa27a64af61,Flickr,organization,flickr,https://www.crunchbase.com/organization/flickr,50321,2007-07-12 12:38:18,2019-02-26 12:03:23,"Flickr, Inc.",company,flickr.com,http://www.flickr.com,USA,CA,California,Sunnyvale,701 1st ave.,94089,acquired,Flickr is an online photo management and sharing application.,"Photo Sharing,Photography,Social Media,Video","Content and Publishing,Internet Services,Media and Entertainment,Video",1,,,,2004-01-01,2004-06-01,,11-50,,,http://www.facebook.com/flickr,http://www.linkedin.com/company/flickr,http://twitter.com/flickr,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1488259592/tlhvknyffucp4qavp2zf.png",LudiCorp Research and Development,,,company,
com.pandora.android,aeec75a9-d7a3-71e6-94ff-4e5ce16b4d0d,Pandora,organization,pandora,https://www.crunchbase.com/organization/pandora,422,2007-07-13 23:30:38,2019-04-01 23:48:51,"Pandora Media, Inc.",company,pandora.com,http://pandora.com,USA,CA,California,Oakland,2100 Franklin Street 7th Floor,94612,acquired,Pandora provides internet radio and recommendation services.,"Advertising,Broadcasting,Internet,Internet Radio,Music,Navigation,Software,Technical Support,Video Streaming","Advertising,Content and Publishing,Internet Services,Media and Entertainment,Music and Audio,Navigation and Mapping,Sales and Marketing,Software,Video",10,750309362,750309362,USD,2000-01-03,2017-06-09,,1001-5000,pandora-jobs@pandora.com,(510)451-4100,http://www.facebook.com/Pandora,https://www.linkedin.com/company/pandora/,https://twitter.com/pandoramusic,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/nenzclww7vhpwgzb7ozj",Savage Beast Technologies,,,company,
com.isinolsun.app,bd0aa3aa-c14e-5fe3-396b-7e19a2f4d141,Sun Microsystems,organization,sun-microsystems,https://www.crunchbase.com/organization/sun-microsystems,47306,2007-08-18 15:52:54,2018-06-27 16:28:07,,"company,investor",sun.com,http://www.sun.com,USA,CA,California,Santa Clara,4150 Network Circle,95054,acquired,"Sun Microsystems is a multinational vendor of computers, computer software and hardware, and information technology services.","Enterprise Software,Hardware,Information Technology","Hardware,Information Technology,Software",,,,,1982-02-01,,,10000+,oraclesales_us@oracle.com,(800) 633-0738,https://www.facebook.com/oracle,http://www.linkedin.com/company/sun-microsystems_1062,http://twitter.com/sunmicrosystems,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1491750213/fp49cojoh77pfz3z33gs.png",Sun,,,company,27
com.aws.android,e87b7a54-037d-8030-e103-01569a84564a,WeatherBug,organization,weatherbug,https://www.crunchbase.com/organization/weatherbug,90618,2007-08-22 20:33:38,2019-06-27 17:20:44,,company,weatherbug.com,http://www.weatherbug.com,USA,CA,California,Mountain View,189 N Bernardo av,,acquired,"WeatherBug is a provider of weather information services in the U.S., generating live neighborhood-level frequent reports.","Government,Information Services,Information Technology,News,Public Safety","Content and Publishing,Government and Military,Information Technology,Media and Entertainment",2,38000000,38000000,USD,1993-01-01,2004-03-01,,51-100,weatherbug-marketing@weatherbug.com,,,,http://twitter.com/WeatherBug,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1479224353/adx5zokor9ujjb9r9ddh.jpg",,,,company,
com.andromo.dev516441.app481408,82176a6f-806b-1517-317e-1e318dca8f81,AdMob,organization,admob,https://www.crunchbase.com/organization/admob,85087,2007-08-30 20:14:47,2018-12-06 06:48:48,"AdMob, Inc.",company,google.com,http://www.google.com/admob,USA,CA,California,Mountain View,1600 Amphitheatre Parkway,94043,acquired,AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,"Ad Network,Advertising,Apps,Marketing,Mobile","Advertising,Apps,Mobile,Sales and Marketing,Software",4,46800000,46800000,USD,2008-05-28,2009-01-29,,unknown,,,http://www.facebook.com/pages/Admob/1403745529887127,http://www.linkedin.com/company/24866,http://twitter.com/admob,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1505992319/u0bw4xgxa4zeughbofah.jpg",,,,company,
com.pic.collagemaster,9f1be266-fd44-e9a5-6215-c8fc40626a2a,Tumblr Inc.,organization,tumblr,https://www.crunchbase.com/organization/tumblr,4838,2007-10-19 10:34:38,2019-04-01 23:48:24,"Tumblr, Inc.",company,tumblr.com,http://tumblr.com,USA,NY,New York,New York,419 Park Ave. South Suite 807,10016,acquired,"Tumblr, a microblogging platform and social networking website, enables users to post multimedia and other content to a short-form blog.","Blogging Platforms,Collaboration,Social Media,Social Network","Content and Publishing,Internet Services,Media and Entertainment",5,125250000,125250000,USD,2007-02-01,2011-09-26,,251-500,,,http://www.facebook.com/tumblr,http://www.linkedin.com/company/tumblr,http://twitter.com/tumblr,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/chwlgasgwbu68jwce7do",,,,company,
com.microsoft.office.excel,82931311-f1fa-e5a7-b563-9d94595f97d1,ice,organization,ice,https://www.crunchbase.com/organization/ice,43071,2008-01-04 20:40:39,2019-06-24 21:55:17,"Ice.com, Inc.",company,ice.com,https://www.ice.com,USA,TX,Texas,Austin,1515 South Interstate 35 Frontage Road #200,78741,acquired,We are building the largest jewelry marketplace.,"E-Commerce,Fashion,Jewelry,Marketplace","Clothing and Apparel,Commerce and Shopping,Consumer Goods,Design",3,49000000,49000000,USD,1999-09-12,2016-03-15,,51-100,info@ice.com,1(800)539-3580,http://www.facebook.com/ice.com,https://www.linkedin.com/company/ice.com,http://twitter.com/ice,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1477201429/kg4wqqb0eod6rressixs.png",,,,company,
de.schildbach.wallet_test,57fd815a-d340-c7ab-a975-dd541a71fec6,GitHub,organization,github,https://www.crunchbase.com/organization/github,73,2008-04-12 14:24:10,2019-04-01 23:49:57,GitHub Inc,"company,investor",github.com,https://github.com,USA,CA,California,San Francisco,88 Colin P Kelly Junior Street,94107,acquired,GitHub provides open-source code hosting services.,"Cloud Computing,Developer Tools,Internet,Project Management,Software","Internet Services,Software",3,350000000,350000000,USD,2008-02-29,2015-12-21,,501-1000,press@github.com,415-735-4488,http://www.facebook.com/GitHub,http://www.linkedin.com/company/1418841,http://twitter.com/github,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1426048404/y4lxnqcngh5dvoaz06as.png",,,,company,
com.wordsmobile.soccerkicks,e4ba2781-c209-0e04-7bee-f33fa339c45b,Android,organization,android,https://www.crunchbase.com/organization/android,888,2008-04-26 03:51:50,2019-04-01 23:48:57,,company,android.com,http://www.android.com,USA,CA,California,Palo Alto,156 University Ave,94301-1631,acquired,Android provides an open-source mobile software platform that allows developers to create applications for mobile devices.,"Linux,Mobile,Search Engine,Software","Internet Services,Mobile,Platforms,Software",,,,,2003-10-01,,,unknown,,,https://www.facebook.com/AndroidOfficial,,https://twitter.com/android,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/qltkjzdqthkeali25e6q",,,,company,
com.gameloft.android.ANMP.GloftFWHM,d36af63a-f0aa-a40b-1a22-13d4a3d341fa,Financial Times,organization,financial-times,https://www.crunchbase.com/organization/financial-times,6015,2008-05-13 11:09:31,2019-02-26 06:24:35,Financial Times Ltd.,"company,investor",ft.com,http://ft.com,GBR,,England,London,One Southwark Bridge,SE1 9HL,acquired,"The Financial Times is a business news organization providing essential news, comments, data and analysis for the global business community.","Digital Media,News,Publishing","Content and Publishing,Media and Entertainment",,,,,1888-01-01,,,1001-5000,help@ft.com,(207) 775-6248,http://www.facebook.com/financialtimes,http://www.linkedin.com/company/financial-times,http://twitter.com/FT,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/vc3alffiyaom3bwvv4vv",Financial Times Group,FT,Financial Times-UK,company,
