appId,developerWebsite,privacyPolicy,minInstalls
com.ashampoo.snap.screenshot.free,https://www.ashampoo.com,https://www.ashampoo.com/en/eur/ppy/apps,500000.0
com.asus_zenfone.www.asus_zenfoneblog,http://www.asus-zenfone.com,,10000.0
com.duy.calculator.free,https://www.facebook.com/app.n.studio/,,100000.0
com.gamebasics.osm,http://www.onlinesoccermanager.com,http://www.onlinesoccermanager.com/Privacy,10000000.0
mobi.infolife.ezweather.locker.g5n20,http://www.amberweather.com/,http://www.amberweather.com/privacy-policy.txt,500000.0
com.galaticdroids.galaticAttack,http://www.galaticdroids.com/,http://galaticdroids.com/privacy.html,5000000.0
aw.nveco.com,http://www.lenouveleconomiste.fr,http://www.lenouveleconomiste.fr/regles-de-confidentialite/,50000.0
dating.lovn,https://lovn.dating/,https://lovn.dating/terms,10000.0
com.finalem.smartpdd.sa,http://smartpdd.ru,https://smartpdd.ru/privacy-policy,100000.0
com.audionowdigital.player.diaspora,http://www.audionow.com,https://www.audionowdigital.com/privacy-policy/,10000.0
com.oki.letters,,https://www.facebook.com/notes/gokids/stork-studio-limited-privacy-policy/1105119492835798,1000000.0
mobi.browser.flashfox,http://mobius.co,https://s3.amazonaws.com/temp-flashfox/privacypolicy.htm,5000000.0
com.autocab.taxibooker.tripleaexpress.hayes,http://www.skyex.co.uk,https://book.autocab.net/35924/Privacy,10000.0
com.vg.supericyfruitsblast,http://www.vascogames.com,http://www.vascogames.com/about-us/vasco-games-privacy-policy/,10000.0
com.fullfat.android.blockysoccer,http://www.full-fat.com,http://www.fullfat.com/privacy-policy,1000000.0
com.x8bit.bitwarden,https://bitwarden.com,https://bitwarden.com/privacy/,100000.0
ru.otpbank,http://www.otpbank.ru,https://www.otpbank.ru/f/documents/dbo/privacy-policy.pdf,1000000.0
com.forqan.tech.AnimalsJigsawPuzzles,https://www.facebook.com/pages/Forqan-Smart-Tech/398958303521529?fref=ts,http://52.144.45.246/forqan_privacy/en/,1000000.0
com.goodrx.doctors,http://www.goodrx.com,https://support.goodrx.com/hc/en-us/articles/115005228506-Privacy-Policy,50000.0
at.firmenabc,http://www.firmenabc.at,http://www.firmenabc.at/agb.aspx#datenschutz,5000.0
uk.co.mxdata.newyorksub,http://www.mapway.com,http://www.mapway.com/privacy-policy/,1000000.0
com.iabuzz.TDPuzzleBlocksAnimals,http://iabuzz.com,http://iabuzz.com/privacy/,500000.0
com.degoo.android.washpet,http://bestgame.com,https://www.6677g.com/static/page/pp.html,10000000.0
com.pandora.android,http://www.pandora.com,http://www.pandora.com/privacy,100000000.0
com.andromo.dev474745.app516865,,,1000.0
com.neces.lametro,http://www.neces.com/,,50000.0
com.andromo.dev352756.app364811,,https://sites.google.com/view/globalapps80/home,10000.0
net.wenchy.ao3track.reader,https://wenchy.net/ao3track,https://wenchy.net/ao3track/Home/PrivacyPolicy,100000.0
com.petitbambou,https://www.petitbambou.com,https://www.petitbambou.com/meditation/vie-privee,1000000.0
au.com.aussietravelsaver,http://www.aussietravelsaver.com.au/,,1000.0
ru.beeline.services,http://www.beeline.ru/index.wbp,http://static.beeline.ru/upload/images/offer.html,10000000.0
com.kongregate.mobile.stormbound.google,https://stormbound.zendesk.com/hc/en-us,http://www.kongregate.com/pages/privacy,1000000.0
assistir.tv.online,http://www.gadi.com.br,https://www.gadi.com.br/politicadeprivacidade.php,1000000.0
com.tgg.kidscooking,http://vascogames.com,http://www.vascogames.com/vasco-games-privacy-policy/,10000000.0
batalsoft.christmasinstrumentshd,https://www.facebook.com/pages/Batalsoft/393859114012583,http://www.batalsoft.com/privacy-policy.htm,10000.0
traductor.ingles.espanol,http://www.conversormonedas.com/,http://www.conversormonedas.com/privacidad.php,5000000.0
com.cameyo.player,http://www.cameyo.com,https://www.cameyo.com/privacy/,1000.0
com.AsianSingles,http://AsianSinglesWorldwide.com,http://asiansinglesworldwide.com/PrivacyPolicy/priv_policy.php,10000.0
de.sde.mobile,http://www.sueddeutsche.de,http://sz.de/datenschutz_app,1000000.0
com.csdg.uab.arpower,https://arthritispower.creakyjoints.org,https://arthritispower.creakyjoints.org/privacy.php,5000.0
com.tumblr,http://tumblr.com,https://www.tumblr.com/privacy,100000000.0
com.myyearbook.m,http://www.meetme.com/,http://www.meetme.com/terms.php#privacy,50000000.0
com.video.downloader.hd.downloader.pro.videodownloader.global,,https://docs.google.com/document/d/1cxlmPAVUJlEhRV9OdH84zXy1IrTlfEjoYGN2crLayDs/edit,10000000.0
kr.co.smartstudy.bodlebookiapfree_android_googlemarket,http://pinkfong.com/,http://www.smartstudy.co.kr/privacy/,1000000.0
pl.wykop.droid,http://www.wykop.pl,http://www.wykop.pl/polityka-prywatnosci/,100000.0
com.zeptolab.ctrexperiments.ads,http://zeptolab.com,https://www.zeptolab.com/pp.htm,10000000.0
com.bluelionsolutions.mytaxicontrol,https://taximeter-gps.com,https://www.iubenda.com/privacy-policy/60692796/full-legal,10000.0
com.andromo.dev295341.app548223,http://www.everytimeapps.com/,http://www.everytimeapps.com/privacy/,500.0
com.nike.omega,http://www.nike.com/,https://www.nike.com/help/a/privacy-global,5000000.0
kr.caramel.quiz_stickman,,https://sites.google.com/site/buzzpowder1privacy/us,1000000.0
com.mobilefootie.wc2010,http://www.fotmob.com,http://www.fotmob.com/privacy_fotmob.html,10000000.0
com.andromo.dev315366.app307273,http://radioplus.mobi,http://radioplus.mobi/privacy-policy.htm,5000.0
com.asgardsoft.crossword,https://www.AsgardSoft.com,https://AsgardSoft.com/PrivacyPolicy.html,50000.0
appsfarmer.FazaileAmaal,,https://cdn.rawgit.com/firozks/d04f5e689f8e39f5e94a801820172b7c/raw/5fec3bbcb7b0196f56e903ab7c05a87f923ef50d/privacy.html,100000.0
com.skibapps.cellspycatcher,,https://sites.google.com/site/skibappsprivacypolicy/,100000.0
biblia.habla.hoy.AOVGMDRFUVODNBOFPU,,https://sites.google.com/view/privacy-policy-smart-apps/,500000.0
arigumzi.home.design,,http://armbekis.blogspot.com.tr/2017/01/armbekis-apps-privacy-policy.html,1000.0
com.wordsmobile.soccerkicks,http://www.terrandroid.com,http://www.terrandroid.com/policy.htm,10000000.0
com.bestfreeapps.videoslidemakerwithmusic,,https://bestfreeappsblog.wordpress.com/privacy-policy,1000000.0
blue.karaoke,http://bluekara.blogspot.tw,http://bluekara.blogspot.tw/2017/02/privacy.html,100000.0
com.opalastudios.pads,https://www.facebook.com/SuperPadsApp,http://site.superpadsapp.com/privacypolicy.htm,10000000.0
com.pic.collagemaster,,https://pictoolsgroup.tumblr.com/post/157522018949/privacy-policy-of-pic-tools-group-photo-editor,10000000.0
jp.co.yahoo.android.apps.transit,https://www.yahoo.co.jp/,https://about.yahoo.co.jp/docs/info/terms/chapter1.html#cf2nd,10000000.0
com.andromo.dev79841.app81662,http://www.cgmpworld.com/,,10000.0
web.dassem.livewebsiteeditorfree,,https://sites.google.com/view/inspect-and-edit-html-live/home,1000000.0
com.nest.android,https://nest.com/,https://nest.com/legal/privacy-statement/,1000000.0
com.atanurapps.tvfr,,http://www.androidserver.net/apps/tvfrek/privacy-policy-for-tv-sat-info/,1000.0
com.g5e.hiddencity.android,http://www.g5e.com,http://www.g5e.com/privacypolicy,10000000.0
beststatus.statusking,,http://indianapptech.blogspot.com/p/privacy-policy-indian-apptech-built_54.html,100000.0
com.iugome.lilknights,http://product.gree.net/us/en,http://www.funzio.com/KD/howto-en_US.html,10000000.0
com.andromo.dev385961.app410931,http://droliaz.com,http://bhajanradio.com/privacy-policy-ndapps/,10000.0
com.ril.ajio,https://www.ajio.com,https://www.ajio.com/privacypolicy,10000000.0
com.han.dominoes,http://www.roghangames.com/,https://roghangames.com/privacy-policy,1000000.0
com.audionowdigital.player.tetiane,http://www.audionowdigital.com,https://www.audionowdigital.com/privacy-policy/,10000.0
com.bizzabo.client,http://www.bizzabo.com,https://www.bizzabo.com/privacy/end_user_terms_of_service,100000.0
com.audaexplore.gtdgeneralinsurance,https://www.thegeneral.com/,https://www.thegeneral.com/legal/privacy-policy/,10000.0
com.atompro.absworkouts,,https://sites.google.com/view/sixpackabsworkoutsathome/home,1000.0
com.noodlecake.happyjump,http://www.noodlecake.com,http://www.noodlecake.com/privacy-policy/,10000000.0
com.zameen.zameenapp,https://www.zameen.com,https://www.zameen.com/privacy.html,1000000.0
it.telecomitalia.centodiciannove,http://www.tim.it,https://www.tim.it/privacy-mytim,10000000.0
com.wordgame.puzzle.flat.en,,https://sites.google.com/site/wcprivacypolicy/,1000000.0
com.andromo.dev192173.app579970,http://rockstreamgrdevs.gr/,http://rockstreamdevs.blogspot.com/2018/09/his-privacy-policy-governs-your-use-of.html,5000.0
com.tmsoft.whitenoise.full,https://www.tmsoft.com/white-noise/,https://www.tmsoft.com/about/privacy/,100000.0
com.iguide.android.field,http://www.theirishfield.ie,http://www.theirishfield.ie/information/privacy/162086,5000.0
com.tct.soundrecorder,,http://schedulemanag.tclclouds.com/tct-privacy-policy.html,10000000.0
com.aim.zombiesniper,http://www.axesinmotion.com,http://www.axesinmotion.com/privacy,5000000.0
com.bazinga.cacheclean,,http://www.bazingandroid.com/privacy.html,5000000.0
com.car2go,http://www.car2go.com,https://www.car2go.com/global-tc.html,1000000.0
com.phoxity.foxity,http://www.foxity.in,http://www.foxity.in/privacy,10000.0
com.funplus.kingofavalonptr,https://discord.gg/6rKdyH2,http://www.funplusgame.com/privacy_policy/,100000.0
com.perblue.portalquest,http://perblue.com,http://perblue.com/portalquest/terms.html,1000000.0
com.mobirix.puccajewblast,https://www.facebook.com/mobirixplayen,http://mobirix.com/policykr.html,500000.0
air.KitchenRestaurantCleanUp,http://www.yokogames.com,http://www.lprastudio.net/privacypolicy.html,1000000.0
com.yahoo.mobile.client.android.flickr,https://www.flickr.com,https://www.flickr.com/help/privacy,10000000.0
com.pakwheels,http://www.pakwheels.com,http://www.pakwheels.com/privacy-policy,1000000.0
com.atech.util.tips,http://www.atechsoftware.net,https://atechsoftware.net/#privacy,50.0
org.rtribe.rtribe,https://www.rtribe.org,https://www.rtribe.org/privacy,100000.0
com.automotiontv.commonwealthhonda,http://www.automotiontv.com/support.asp,http://www.automotiontv.com/appterms.html,100.0
com.redMountain.main,http://www.bariapps.com,http://www.bariapps.com/bariapps-app-privacy-policy/,10000.0
ppl.unity.junglecubes,http://www.playlab.com/,http://www.playlab.com/Privacy,1000000.0
com.hnsmall,http://m.hnsmall.com,http://m.hnsmall.com/contents/privacy,10000000.0
org.findmykids.app,https://findmykids.org,https://findmykids.org/docs/privacy-policy/en/,5000000.0
com.YovoGames.profa,http://www.yovogames.com,http://www.yovogames.com/policy/,1000000.0
au.com.nlm.bigleague,http://www.magsonline.com.au,http://magsonline.com.au/store/custompage.asp?customid=112,1000.0
com.iconjob.android,https://worki.ru,https://worki.ru/pdf/conf.pdf,1000000.0
com.mm.android.direct.evoplusLite,http://www.bydemes.com,http://www.bydemes.com/privacy_en.html,100000.0
com.nexters.herowars,http://nextersglobal.com,http://nextersglobal.com/privacy_hw_io,1000000.0
com.awesomelivewallpapers.flowerslivewallpapers,,https://awesomelivewallpapers.wordpress.com/privacypolicy,1000.0
com.audiencemedia.app481,http://www.ziniopro.com,http://www.ziniopro.com/application-privacy-policy,1000.0
com.refind.android,https://refind.com,https://refind.com/privacy,5000.0
com.locon.housing,https://housing.com,https://housing.com/privacy-policy,1000000.0
com.andromo.dev474745.app553500,,,1000.0
com.peoresnada.mental,http://peoresnada.com,http://peoresnada.com/condiciones_de_uso.html,5000000.0
com.bubadu.mybabycare,http://www.bubadu.com,http://bubadu.com/privacy-policy.shtml,10000000.0
com.tutotoons.app.ponysisterspopmusicband.free,http://www.tutotoons.com,http://tutotoons.com/privacy_policy/,1000000.0
fr.bnpp.digitalbanking,http://www.hellobank.fr,https://www.hellobank.fr/rsc/contrib/pdf/Regles-de-confidentialite-HB.pdf,100000.0
com.tiramisu.driftmax2,http://www.tiramisu.com.tr/,https://www.iubenda.com/privacy-policy/82493774,10000000.0
com.ionicframework.jiachangcai,,,10000.0
com.easyx.coolermaster,,https://www.picooapp.com/privacy.html,10000000.0
com.sponge.robotwo,http://www.facebook.com/SpongeMobile,http://blog.naver.com/wylee127/220926584888,50000.0
com.scopely.headshot,http://scopely.com/game/the-walking-dead/,https://www.scopely.com/privacy,10000000.0
com.hyperkani.bomberfriends,http://www.hyperkani.com,http://hyperkani.com/Hyperkani_Privacy_Policy.html,10000000.0
com.drippler.android.updates,http://drippler.com,http://drippler.com/about/privacy,5000000.0
com.hookah.gardroid.free,,https://gardroid-11769.firebaseapp.com/privacy,100000.0
at.asfinag.unterwegs,http://www.asfinag.at,https://www.asfinag.at/privacy,500000.0
nitezh.ministock,http://niteshpatel.github.io/ministocks,,100000.0
com.sbi.SBIFreedomPlus,http://www.sbi.co.in,https://www.onlinesbi.com/personal/privacy_statement.html,10000000.0
eu.abra.primaerp.time.android,https://www.primaerp.com,http://www.primaerp.com/information/privacy,10000.0
com.Chibig.Ankora,http://www.chibig.com,http://chibig.com/privacy-policy/,1000000.0
com.asopalav.app,https://compubrain.com,,1000.0
com.rokia.char3ia.jadida.adil.tania,,http://saidforapp.blogspot.com/p/privacy-policy.html,500.0
jp.ameba,http://www.ameba.jp/,https://www.cyberagent.co.jp/privacy/,5000000.0
com.Plastic.Surgery.Skin.Guide,,https://sites.google.com/site/healthprivacypolicy/home/privacy-policy,10000.0
com.gameloft.android.ANMP.GloftFWHM,http://www.gameloft.com/,http://www.gameloft.com/privacy-notice/,50000000.0
game2048.b2048game.twozerofoureight2048.game,http://wiscod.com,http://wiscod.com/privacypolicy,10000000.0
us.drpad.drpadapp,http://www.drpad.us,http://drpad.us/privacy/,10000.0
bitasobhani.makemebellydance,,http://sites.google.com/site/mybitdeveloper/home/android/make-me-belly-dance,1000.0
com.lottemart.lmscp,http://www.lottemart.com,http://m.lottemart.com/mobile/customercenter/viewHtmlCustomer.do?viewPath=guidePrivacy,1000000.0
arun.com.chromer,,,100000.0
com.backflipstudios.android.ninjumpdeluxe,http://www.backflipstudios.com,http://www.backflipstudios.com/backflip-studios-privacy-policy/,10000000.0
com.renderedideas.jungleadventures,http://www.renderedideas.com,http://www.renderedideas.com/privacy,10000000.0
air.com.cg.magic.horse.unicorn.caring.my.little.pony.beauty.makeover,https://sites.google.com/view/casual-girl-games-for-free/,https://sites.google.com/view/casual-girl-games-for-free/privacy-policy,100000.0
com.Boomware.CinemaPanic2,https://www.facebook.com/cinemapanic2/,http://boomware.pe/privacy-policy/,1000000.0
com.kauf.babydesignermytalkingbaby,http://www.facebook.com/kaufcom,http://www.kauf.com/cgi-bin/privacy_policy_mixed.pl,100000.0
com.nate.android.portalmini,http://m.nate.com,http://www.nate.com/policy/privacy.html,10000000.0
wifihospot.internetsharing.datausage.internetmeter,,,10000.0
com.ejr.mctstracker,http://mctstracker.com/,http://mctstracker.com/app-privacy/,50000.0
com.audionowdigital.player.smoothfm,http://www.audionow.com,https://www.audionowdigital.com/privacy-policy/,1000.0
com.eventwo.iapd2017,http://eventwo.com,http://eventwo.com/privacy-policy-eventwo-apps/?lang=en,100.0
com.jb.gokeyboard,http://goo.gl/kLxbSl,http://www.goforandroid.com/en/privacy-policy.html,100000000.0
com.truegames.explorationpro2018,,http://explorationpro.com/privacy-policy/,5000000.0
com.detentiongames.pumpkinmakerhalloween,http://www.detentionapps.com,http://www.detentionapps.com/privacypolicy.html,10000.0
net.bigbearentertainment.android_ho_guardians,,https://www.bigbearentertainment.net/privacy/,1000000.0
com.aura.ringtones.auraanimals,https://sites.google.com/site/auraringtones,http://mobyport.com/PrivacyPolicy.html,1000000.0
com.video.maker,http://www.androidvideomaker.com,https://videostorymaker.wordpress.com/privacy-policy/,10000000.0
com.smule.singandroid,http://www.smule.com,http://smule.com/privacy,100000000.0
com.ayasis.mentalup,https://www.mentalup.co,https://www.mentalup.co/privacy-policy,1000000.0
com.cestlavie.minialimi,,https://tools-c915d.firebaseapp.com/notice.html,100000.0
com.avaya.ept.avayasupport,http://support.avaya.com,,1000.0
com.andromo.dev445584.app557074,,https://sites.google.com/view/suratalmaidahdantafsir,500.0
com.Alfeshka.SurpriseEggsGirls,,http://alfeshka.com/?page_id=255,5000000.0
com.RainbowElk.TappyDrop,http://www.facebook.com/TappyDrop,https://susantio.wixsite.com/tappydrop/privacypolicy,100.0
com.aycka.apps.MassReadings,http://ayckasoft.blogspot.com/p/laudate-for-android.html,http://laudateapp.blogspot.com/p/laudate-terms-of-service-and-privacy.html,1000000.0
com.blacklightsw.ludo,http://www.blacklightsw.com/,http://blacklightsw.com/privacy-policy.html,10000000.0
com.AyatulKursi,,,1000.0
jp.co.quadsystem.skyphone,http://www.skyphone.jp/l/,http://www.skyphone.jp/l/privacy/,500000.0
beautifulnight.ihs.com,,https://sites.google.com/site/videolivewallpapers/,10000.0
com.rally.wellness,https://www.rallyhealth.com/,https://www.werally.com/corporate/privacy/,100000.0
com.greysprings.kindergarten8,http://www.greysprings.com/,http://www.greysprings.com/privacy,1000000.0
com.andromo.dev137436.app221600,,http://hexe.he-internet.de/android/privacy.html,5000.0
com.hippo.AirportProfession,http://www.clearinvest-ltd.com,http://policy.clearinvest-ltd.com/private_policy_HNR.html,1000000.0
com.atharva.projectwellaappl,https://welladigital.com,http://coty.com/privacy-policy,10000.0
de.commerzbanking.mobil,http://www.bankingapp.commerzbank.de,https://www.commerzbank.de/portal/de/footer1/datenschutzhinweise-apps/hinweis_banking_app.html,1000000.0
ca.lbcstudios.hempire,http://hempiregame.com,https://hempiregame.com/privacy-policy/,5000000.0
com.micromaxinfo.browser,http://www.micromaxinfo.com/,https://sso-new.micromaxinfo.com/privacy-policy,1000000.0
fityfor.me.buttlegs,http://fityfor.me,https://docs.google.com/document/d/14iS13zYNpDfZOOS4z_OaCVXB0wxWEDgJtmEfoE-6UZ8/edit?usp=sharing,1000000.0
com.amazon.clouddrive.photos,http://www.amazon.com/CloudDrive,https://www.amazon.com/gp/help/customer/display.html?nodeId=468496,10000000.0
com.AXgamesoft.TurbopropFS,https://www.facebook.com/TurbopropFS/,https://docs.google.com/document/d/1V0xrimj2nt5Z3nC9R_SHG2P1r5veXSg5dBjm5wDt1dg/edit?usp=sharing,5000000.0
com.cisco.wx2.android,https://www.webex.com,https://www.cisco.com/web/siteassets/legal/privacy.html,500000.0
com.lucky_apps.RainViewer,https://www.rainviewer.com,https://www.rainviewer.com/privacy-policy.html,100000.0
com.gramgames.mergetown,http://gram.gs,https://www.zynga.com/privacy/policy,1000000.0
com.asg.truckparking.transport.driver.freegame,,https://fhgffsite.wordpress.com/about/,100000.0
com.newsenselab.android.msense,https://m-sense.de/,https://m-sense.de/datenschutz-app/,100000.0
com.universallauncher.universallauncher,https://flicklauncher.com,https://www.iubenda.com/privacy-policy/75966133,500000.0
com.cootek.smartinputv5.skin.keyboard_theme_it_joker,,http://sina.lt/fGP3,10000.0
com.intermedia.hq,http://twitter.com/hqtrivia,https://hq.hype.space/legal/privacy.html,5000000.0
com.audionowdigital.player.channpardesi,http://www.audionow.com,https://www.audionowdigital.com/privacy-policy/,5000.0
com.andromo.dev130378.app326599,http://www.kduoapps.com,http://kduoapps.com/eula-privacy-policy/,5000.0
b4a.subtractionslevel2F,,http://sites.google.com/site/longsubtraction2323,1000.0
kr.sira.unit,http://androidboy1.blogspot.com/2015/10/unit-converter-v13.html,http://androidboy1.blogspot.com/2017/09/privacy-policy.html,10000000.0
com.tutotoons.app.jungleanimalhairsalon2.free,http://www.tutotoons.com,http://tutotoons.com/privacy_policy/,5000000.0
com.ihubin.contactsmanager,,https://github.com/dahehe/ContactsManager/blob/master/PrivacyPolicy.md,10000.0
be.appwise.fietsparadijs,http://www.toerismelimburg.be,https://tourism-apps.appwise-dev.com/tos/android_limburg.html,10000.0
com.cadev.thewall,http://cadevgames.com/,http://cadevgames.com/privacy,1000000.0
zakariaounajim.com.allcurrenciesconverter,,https://blog.goodbarber.com/docs/Privacypolicy/PrivacyPolicy.pdf,10000.0
com.dodisoft.fidgetstick,http://dodisoft.com,http://dodisoft.com/privacy_hammer.html,10000.0
org.thunderdog.challegram,https://telegram.org,https://telegram.org/privacy,10000000.0
com.HandEmbroideryDesignsnorsil,,https://docs.google.com/document/d/1RIzHQkalcpZ74N-VmGFlbZaui2YUwF8pfCH7GUD-9Ns/edit?usp=sharing,100000.0
blessings.duhnnae.com.blessings_bendiciones,http://www.duhnnae.com,http://duhnnae.com/policy-duhnnae.php,5000.0
com.femalefitness.workoutwoman.weightloss,,http://qaqakn.appcloudbox.net/wap/privacy.html,1000000.0
com.sinyee.babybus.lovehealthy,http://www.babybus.com,http://en.babybus.com/index/privacyPolicy.shtml,5000000.0
com.gv.forestmatch3puzzlemania,,http://www.vascogames.com/about-us/vasco-games-privacy-policy/,10000.0
ru.subprogram.guitarsongs.vint,https://www.facebook.com/groups/guitarsongs.club,https://guitarsongs.club/policy/gs_privacy_policy.html,5000000.0
jio.cloud.drive,https://www.jiocloud.com,http://static.jiocloud.com/privacypolicy.html,10000000.0
com.andromo.dev430593.app464289,,https://sites.google.com/view/policyprivacymasa,10000.0
com.enki.Enki750g,http://www.750g.com,http://www.750g.com/charte_de_confidentialite.htm,1000000.0
com.orange.kidspiano.music.songs,http://www.orangestudios.wirez.com.ar,http://orangestudiosgames.wirez.com.ar/privacy_policy.html,10000000.0
awesome.wallpapers.for.android,,http://hdwallpaperthemes.com/privacy_policy_hdwallpaperthemes.html,1000000.0
apps.andlabs.lifestyle.makeup.beauty.eyes.lens.changer.stylish.free,,http://policyfather.com/getPolicy.html,10000.0
com.andromo.dev281355.app281827,http://www.trustedfeed.com,http://www.trustedfeed.com/privacy.html,1000.0
com.arabboxx.moazen,,http://arabboxx.blogspot.com.eg/p/blog-page.html,5000000.0
com.sega.sprint,http://www.sega.com,http://www.sega.com/mprivacy/,10000000.0
il.co.savedate.savethedate,http://savedate.co.il,http://www.savedate.co.il/terms.pdf,1000.0
com.avengersapps.frasesparaeldiadelpadre,http://avengersapps.com,http://www.avengersapps.com/politicas-de-privacidad/,1000.0
com.andromo.dev249561.app234838,http://londonnut.com,Http://londonnut.com/privacypolicy.html,100000.0
com.dreamed.physicsdrop,https://www.facebook.com/IDCGames-Apps-382606228789560/,https://en.idcgames.com/privacy-policy,10000000.0
com.korrisoft.ringtone.maker,,http://ciamedia.com/privacy-policy/,1000000.0
com.sinyee.babybus.dinosaur,http://www.babybus.com,http://en.babybus.com/index/privacyPolicy.shtml,5000000.0
com.tapastic,https://tapas.io/,https://tapas.io/privacy,1000000.0
com.ydea.codibook,https://codibook.net,https://codibook.net/policy.html,1000000.0
com.gamedevltd.destinywarfare,http://azurgames.com,https://eur1.modernstrike.online/en/policy,5000000.0
ca.walmart.ecommerceapp,http://www.walmart.ca,http://www.walmart.ca/en/help/legal/app-terms-of-use,500000.0
com.andromo.dev341420.app387170,,https://docs.google.com/document/d/1zyFZYoGjQ_zo3oZXYMZZoFW0uPz-CY5R6GJ8OrU9Z1U/edit#,10000.0
ru.litres.android,http://www.litres.ru/pomosch/,https://www.litres.ru/pages/litres_oferta/,10000000.0
de.schildbach.wallet_test,https://github.com/bitcoin-wallet/bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet/wiki/PrivacyPolicy,10000.0
com.REG.CHECK.FREE,,http://www.thechopperchap.co.uk/privacy.html,10000.0
com.i6.Offroad4x4HillClimb3D,http://i6games.net/,http://www.i6games.net/mobile-privacy-policy/,1000000.0
com.jazzmoonstewdio.android.dcmetro.activity,http://www.jazzmoonstudio.com/,http://www.jazzmoonstudio.com/home-1/privacy-policy,500000.0
com.bauermedia.bike,,https://www.bauerdatapromise.co.uk/,1000.0
com.amazon.phoenix,http://www.amazon.com/,http://amazon.com/privacy,500000.0
com.facebook.Socal,https://www.facebook.com/facebook,https://www.facebook.com/about/privacy,1000000.0
com.bigfans.crcardcreator,,https://bigfansstudio.github.io/privacy_card_creator.html,10000000.0
fr.haruni.frigomagic,http://www.frigomagic.com,http://www.frigomagic.com/blog/mentions-legales/,500000.0
com.isinolsun.app,https://www.isinolsun.com,https://www.kariyer.net/website/hakkimizda/gizlilikprensibi.aspx,1000000.0
zinga.apps.hindu_gods,,http://www.triogenictechnologies.com/bc_privacyPolicy.html,10000.0
com.phantom.me,https://www.phantom.me,https://phantom.me/Phantom.me.Privacy.Policy.pdf,100000.0
com.cootek.smartinputv5.skin.keyboard_theme_water,,http://sina.lt/fGP3,10000000.0
kr.co.smartstudy.bodlebookiapsong_cn_android_googlemarket,http://about.pinkfong.com/about/,http://www.smartstudy.co.kr/privacy/,100000.0
