app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
com.art.studio.baby.girl.fashion.suit,df662812-7f97-0b43-9d3e-12f64f504fbb,Facebook,organization,facebook,https://www.crunchbase.com/organization/facebook,8,2007-05-26 04:22:15,2019-05-30 16:50:26,"Facebook, Inc.","company,investor",facebook.com,http://www.facebook.com,USA,CA,California,Menlo Park,1 Hacker Way,94025,ipo,Facebook is an online social networking service that enables its users to connect with friends and family.,"Messaging,Mobile,Mobile Apps,Social,Social Media,Social Network","Apps,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Mobile,Software",14,2335700000,2335700000,USD,2004-02-04,2012-03-10,,10000+,,,https://www.facebook.com/facebook/,http://www.linkedin.com/company/facebook,https://twitter.com/facebook,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/nknzyi7vpvljo1xhrk3g",,,,company,0
com.intermedia.hq,5da6106f-0d27-0d37-e9d7-dcfeccc1f709,Twitter,organization,twitter,https://www.crunchbase.com/organization/twitter,4,2007-06-01 15:42:34,2019-05-30 17:21:33,Twitter Inc.,"company,investor",twitter.com,http://www.twitter.com/,USA,CA,California,San Francisco,1355 Market Street Suite 900,94103,ipo,Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as “tweets”.,"Blogging Platforms,Messaging,SMS,Social Media","Content and Publishing,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications",13,1460166511,1460166511,USD,2006-03-21,2015-02-17,,1001-5000,press@twitter.com,,https://www.facebook.com/twitterinc,http://www.linkedin.com/company/twitter,http://twitter.com/twitter,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397180207/d242197edc3ff044620cf2d8ff39d6b3.jpg",,,,company,
com.yahoo.mobile.client.android.flickr,c750db1b-559a-0583-41dc-2fa27a64af61,Flickr,organization,flickr,https://www.crunchbase.com/organization/flickr,50321,2007-07-12 12:38:18,2019-02-26 12:03:23,"Flickr, Inc.",company,flickr.com,http://www.flickr.com,USA,CA,California,Sunnyvale,701 1st ave.,94089,acquired,Flickr is an online photo management and sharing application.,"Photo Sharing,Photography,Social Media,Video","Content and Publishing,Internet Services,Media and Entertainment,Video",1,,,,2004-01-01,2004-06-01,,11-50,,,http://www.facebook.com/flickr,http://www.linkedin.com/company/flickr,http://twitter.com/flickr,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1488259592/tlhvknyffucp4qavp2zf.png",LudiCorp Research and Development,,,company,
com.pandora.android,aeec75a9-d7a3-71e6-94ff-4e5ce16b4d0d,Pandora,organization,pandora,https://www.crunchbase.com/organization/pandora,422,2007-07-13 23:30:38,2019-04-01 23:48:51,"Pandora Media, Inc.",company,pandora.com,http://pandora.com,USA,CA,California,Oakland,2100 Franklin Street 7th Floor,94612,acquired,Pandora provides internet radio and recommendation services.,"Advertising,Broadcasting,Internet,Internet Radio,Music,Navigation,Software,Technical Support,Video Streaming","Advertising,Content and Publishing,Internet Services,Media and Entertainment,Music and Audio,Navigation and Mapping,Sales and Marketing,Software,Video",10,750309362,750309362,USD,2000-01-03,2017-06-09,,1001-5000,pandora-jobs@pandora.com,(510)451-4100,http://www.facebook.com/Pandora,https://www.linkedin.com/company/pandora/,https://twitter.com/pandoramusic,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/nenzclww7vhpwgzb7ozj",Savage Beast Technologies,,,company,
com.aws.android,e87b7a54-037d-8030-e103-01569a84564a,WeatherBug,organization,weatherbug,https://www.crunchbase.com/organization/weatherbug,90618,2007-08-22 20:33:38,2019-06-27 17:20:44,,company,weatherbug.com,http://www.weatherbug.com,USA,CA,California,Mountain View,189 N Bernardo av,,acquired,"WeatherBug is a provider of weather information services in the U.S., generating live neighborhood-level frequent reports.","Government,Information Services,Information Technology,News,Public Safety","Content and Publishing,Government and Military,Information Technology,Media and Entertainment",2,38000000,38000000,USD,1993-01-01,2004-03-01,,51-100,weatherbug-marketing@weatherbug.com,,,,http://twitter.com/WeatherBug,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1479224353/adx5zokor9ujjb9r9ddh.jpg",,,,company,
com.tumblr,9f1be266-fd44-e9a5-6215-c8fc40626a2a,Tumblr Inc.,organization,tumblr,https://www.crunchbase.com/organization/tumblr,4838,2007-10-19 10:34:38,2019-04-01 23:48:24,"Tumblr, Inc.",company,tumblr.com,http://tumblr.com,USA,NY,New York,New York,419 Park Ave. South Suite 807,10016,acquired,"Tumblr, a microblogging platform and social networking website, enables users to post multimedia and other content to a short-form blog.","Blogging Platforms,Collaboration,Social Media,Social Network","Content and Publishing,Internet Services,Media and Entertainment",5,125250000,125250000,USD,2007-02-01,2011-09-26,,251-500,,,http://www.facebook.com/tumblr,http://www.linkedin.com/company/tumblr,http://twitter.com/tumblr,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/chwlgasgwbu68jwce7do",,,,company,
de.schildbach.wallet_test,57fd815a-d340-c7ab-a975-dd541a71fec6,GitHub,organization,github,https://www.crunchbase.com/organization/github,73,2008-04-12 14:24:10,2019-04-01 23:49:57,GitHub Inc,"company,investor",github.com,https://github.com,USA,CA,California,San Francisco,88 Colin P Kelly Junior Street,94107,acquired,GitHub provides open-source code hosting services.,"Cloud Computing,Developer Tools,Internet,Project Management,Software","Internet Services,Software",3,350000000,350000000,USD,2008-02-29,2015-12-21,,501-1000,press@github.com,415-735-4488,http://www.facebook.com/GitHub,http://www.linkedin.com/company/1418841,http://twitter.com/github,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1426048404/y4lxnqcngh5dvoaz06as.png",,,,company,
com.cisco.wx2.android,dfff4ae0-9efd-2ba1-09cd-bba24b683255,WebEx,organization,webex,https://www.crunchbase.com/organization/webex,77172,2008-08-13 06:48:38,2018-08-19 09:14:50,,company,webex.com,http://www.webex.com,USA,CA,California,Santa Clara,3979 Freedom Circle,95054,acquired,"WebEx, a Cisco company, provides on-demand applications for businesses to conduct web conferencing, telework and application remote control.","Collaboration,Enterprise Software,Internet,Security,Telecommunications,Video Conferencing","Hardware,Information Technology,Internet Services,Messaging and Telecommunications,Privacy and Security,Software",2,47000000,47000000,USD,1995-01-01,2000-04-03,,10000+,,(877)509-3239,http://www.facebook.com/webex,http://www.linkedin.com/company/webex,http://twitter.com/webex,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397191386/07d06925cd9fd874e0a5718660d720c9.png",WebEx Communications,,,company,
com.smule.singandroid,2f8cdff6-6d9f-4af4-9d4c-04d1452a99bd,Smule,organization,smule,https://www.crunchbase.com/organization/smule,2003,2008-09-26 16:44:06,2019-04-01 23:48:22,"Smule, Inc.",company,smule.com,http://www.smule.com,USA,CA,California,San Francisco,139 Townsend Street Suite 200,94107,operating,Smule develops music-making apps that connect people.,"Audio,Mobile,Mobile Apps,Music","Apps,Media and Entertainment,Mobile,Music and Audio,Software",11,176450000,176450000,USD,2008-01-01,2018-10-17,,101-250,,888-405-8668,http://www.facebook.com/Smule,https://www.linkedin.com/company/smule-inc.,http://twitter.com/smule,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/vjjxxfyjqggr7anhivzk",SonicMule,,,company,
com.grindrapp.android,30fe4020-7448-40b1-1372-de209588ae4b,Grindr,organization,grindr,https://www.crunchbase.com/organization/grindr,1324,2009-03-26 04:31:15,2019-03-05 22:48:26,Grindr LLC,company,grindr.com,http://www.grindr.com,USA,CA,California,West Hollywood,,90069,acquired,"Grindr is a location-based social application for gay, bi, trans, queer people and other members of the LGBT community.","Apps,iOS,LGBT,Location Based Services,Social Media,Social Network","Apps,Data and Analytics,Internet Services,Media and Entertainment,Mobile,Navigation and Mapping,Platforms,Software",1,93000000,93000000,USD,2008-02-03,2016-01-11,,51-100,help@grindr.com,,http://www.facebook.com/Grindr,https://www.linkedin.com/company/grindr,http://twitter.com/Grindr,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/pvnixthy2vrnbswghzka",,,,company,
