app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
com.lifelock.memberapp,b93d25ff-cf38-929e-57a6-b40bf77db9ca,LifeLock,organization,lifelock,https://www.crunchbase.com/organization/lifelock,4386,2007-06-18 18:31:31,2018-12-07 06:42:54,"LifeLock, Inc.",company,lifelock.com,http://www.lifelock.com,USA,AZ,Arizona,Tempe,60 E. Rio Salado Pkwy Suite 400,85281,acquired,LifeLock is an identity theft protection company that protects its members' personal information from being used by a third party.,"Consumer,Security,Service Industry",Privacy and Security,7,201340000,201340000,USD,2005-08-01,2016-05-21,,501-1000,member.feedback@lifelock.com,800-416-0599,http://www.facebook.com/LifeLock,http://www.linkedin.com/company/lifelock,http://twitter.com/LifeLock,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1477322420/fjc9krddcthw4xs15vl5.jpg",,,,company,
com.asiminc.flashlight.torch,86da6213-5b43-6419-4047-472102ccf66f,LinkedIn,organization,linkedin,https://www.crunchbase.com/organization/linkedin,1783,2007-07-17 11:21:55,2019-04-01 23:49:04,LinkedIn Corporation,"company,investor",linkedin.com,http://linkedin.com,USA,CA,California,Sunnyvale,,,acquired,"LinkedIn, a professional networking site, allows its members to create business connections, search for jobs, and find potential clients.","Professional Networking,Professional Services,Recruiting,Social Media,Social Recruiting","Community and Lifestyle,Internet Services,Media and Entertainment,Professional Services",7,154800000,154800000,USD,2003-05-05,2016-02-15,,1001-5000,,,http://www.facebook.com/LinkedIn,http://www.linkedin.com/company/linkedin,http://twitter.com/linkedin,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1398126453/adu2g57bgen4u9lb1kb1.png",,,,company,1
com.snapfish.mobile,51469caa-39ed-131d-1670-31eeb563bde4,Snapfish,organization,snapfish,https://www.crunchbase.com/organization/snapfish,71364,2007-08-03 19:51:41,2019-06-24 22:22:02,,company,snapfish.com,http://snapfish.com,USA,CA,California,San Francisco,"303 Second Street South Tower, Suite 500",94107,acquired,Snapfish is a photo sharing and hosting service that allows individuals to create customized digital prints and gifts using their photos.,"Internet,Photo Sharing,Photography","Content and Publishing,Internet Services,Media and Entertainment",2,43500000,43500000,USD,1999-01-01,2000-05-01,,251-500,service@snapfish.com,(800)558-8224,https://www.facebook.com/snapfish,https://in.linkedin.com/company/snapfish,http://twitter.com/snapfishbyhp,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397749266/1311e268e8d17957cf6f99f52b596cc0.jpg",,,,company,
com.greenmile.highthere,11b6877e-c027-58af-d090-4b3623d77fbe,There,organization,there,https://www.crunchbase.com/organization/there,223013,2007-08-07 06:52:45,2018-04-17 12:18:16,,company,there.com,http://www.there.com,USA,CA,California,San Mateo,1855 South Grant Street 3rd Floor,94402,acquired,"There is an online virtual world where individuals can explore, meet friends and play games.","Online Games,Teenagers,Virtual World","Community and Lifestyle,Gaming,Media and Entertainment,Software",,,,,1998-01-01,,,unknown,,,https://www.facebook.com/ThereVirtualWorld/,,https://twitter.com/there_com_,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397180370/56fab9c4f7ad123236c92025d356cbf4.png",,,,company,
com.playperia.traficio,8adae63e-fac9-89fc-fcdf-3f161498ddd0,Weebly,organization,weebly,https://www.crunchbase.com/organization/weebly,37167,2007-08-16 12:32:08,2019-06-24 22:06:59,"Weebly, Inc.",company,weebly.com,http://www.weebly.com,USA,CA,California,San Francisco,"460 Bryant Street, #100",94107,acquired,"Weebly is a consumer service that lets people create a website, blog or online store.","Blogging Platforms,E-Commerce Platforms,Mobile","Commerce and Shopping,Content and Publishing,Internet Services,Media and Entertainment,Mobile",4,35670000,35670000,USD,2007-01-01,2014-04-22,,1001-5000,press@weebly.com,,http://www.facebook.com/weebly,http://www.linkedin.com/company/weebly,https://www.twitter.com/weebly,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/ajlvp3cqwepcrgidwdds",,,,company,
com.eharmony,61a357f9-24ac-5159-9b71-bf09855d961b,eHarmony,organization,eharmony,https://www.crunchbase.com/organization/eharmony,65610,2007-08-22 16:37:28,2019-06-12 21:29:57,,"company,investor",eharmony.com,http://eharmony.com,USA,CA,California,Santa Monica,2401 Colorado Avenue Suite A200,90404,acquired,eHarmony is an online dating website that matches highly compatible singles with each other.,"Dating,Internet,Social Network","Community and Lifestyle,Internet Services",2,113000000,113000000,USD,1999-12-01,2004-11-01,,101-250,,,http://www.facebook.com/eharmony,https://www.linkedin.com/company-beta/16002,http://twitter.com/eHarmony,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1481830610/crii90g3kfnagrwus59u.png",,,,company,1
com.trulia.android,6a4a2e74-0801-24b7-d755-881b07025f17,Trulia,organization,trulia,https://www.crunchbase.com/organization/trulia,19867,2007-08-22 20:24:14,2018-11-30 09:08:15,Trulia Inc.,company,trulia.com,http://trulia.com,USA,CA,California,San Francisco,535 Mission St. Suite 700,94105,acquired,Trulia is a home and neighborhood site for buyers and renters to find homes and neighborhoods across the United States.,"Internet,Mobile Apps,Real Estate,Rental","Apps,Commerce and Shopping,Internet Services,Mobile,Real Estate,Software",5,255100000,255100000,USD,2005-09-23,2013-12-18,,501-1000,customerservice@trulia.com,,http://www.facebook.com/trulia,http://www.linkedin.com/company/trulia,http://twitter.com/trulia,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1489036023/vdk0iidetcsi40avraym.png",,,,company,
com.sale.expleo,34d053d1-8d72-62e3-e547-af7afea63dc6,Bix,organization,bix,https://www.crunchbase.com/organization/bix,236900,2007-08-23 19:15:55,2018-02-12 23:39:26,,company,bix.com,http://bix.com,USA,CA,California,Sunnyvale,701 First Avenue,94089,acquired,"Bix operates a website that allows users and advertisers to create, enter into and judge online contests.","Contests,Online Portals,Web Browsers","Gaming,Internet Services,Software",1,6700000,6700000,USD,2006-01-01,2006-01-01,,unknown,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397181146/f7ecb83afcf43a2d70a39b1b362045dc.png",900 Seconds Inc,,,company,
com.ing.twyp,93f82cba-550d-de3a-9f7f-f4eda4bb469c,YP,organization,yellowpages,https://www.crunchbase.com/organization/yellowpages,108712,2007-08-24 18:35:00,2019-11-04 18:51:18,,company,yp.com,http://www.yp.com,USA,GA,Georgia,Tucker,2247 Northlake Parkway,30084,acquired,YP is a leading local marketing solutions provider in the US dedicated to helping local businesses and communities grow.,"Advertising,Digital Marketing,Internet,Local,Local Advertising,Local Business,Location Based Services,Search Engine,Small and Medium Businesses","Advertising,Data and Analytics,Internet Services,Navigation and Mapping,Sales and Marketing",,,,,1996-01-01,,,5001-10000,press@yp.com,678-406-2100 ,https://www.facebook.com/YP,https://www.linkedin.com/company/yp,https://twitter.com/YP,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1464824205/noc3qvhuso8derlqi3yn.jpg",yellowpages.com,,,company,
com.check.info,82176a6f-806b-1517-317e-1e318dca8f81,AdMob,organization,admob,https://www.crunchbase.com/organization/admob,85087,2007-08-30 20:14:47,2018-12-06 06:48:48,"AdMob, Inc.",company,google.com,http://www.google.com/admob,USA,CA,California,Mountain View,1600 Amphitheatre Parkway,94043,acquired,AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,"Ad Network,Advertising,Apps,Marketing,Mobile","Advertising,Apps,Mobile,Sales and Marketing,Software",4,46800000,46800000,USD,2008-05-28,2009-01-29,,unknown,,,http://www.facebook.com/pages/Admob/1403745529887127,http://www.linkedin.com/company/24866,http://twitter.com/admob,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1505992319/u0bw4xgxa4zeughbofah.jpg",,,,company,
