app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
com.lifelock.memberapp,b93d25ff-cf38-929e-57a6-b40bf77db9ca,LifeLock,organization,lifelock,https://www.crunchbase.com/organization/lifelock,4386,2007-06-18 18:31:31,2018-12-07 06:42:54,"LifeLock, Inc.",company,lifelock.com,http://www.lifelock.com,USA,AZ,Arizona,Tempe,60 E. Rio Salado Pkwy Suite 400,85281,acquired,LifeLock is an identity theft protection company that protects its members' personal information from being used by a third party.,"Consumer,Security,Service Industry",Privacy and Security,7,201340000,201340000,USD,2005-08-01,2016-05-21,,501-1000,member.feedback@lifelock.com,800-416-0599,http://www.facebook.com/LifeLock,http://www.linkedin.com/company/lifelock,http://twitter.com/LifeLock,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1477322420/fjc9krddcthw4xs15vl5.jpg",,,,company,
com.asiminc.flashlight.torch,86da6213-5b43-6419-4047-472102ccf66f,LinkedIn,organization,linkedin,https://www.crunchbase.com/organization/linkedin,1783,2007-07-17 11:21:55,2019-04-01 23:49:04,LinkedIn Corporation,"company,investor",linkedin.com,http://linkedin.com,USA,CA,California,Sunnyvale,,,acquired,"LinkedIn, a professional networking site, allows its members to create business connections, search for jobs, and find potential clients.","Professional Networking,Professional Services,Recruiting,Social Media,Social Recruiting","Community and Lifestyle,Internet Services,Media and Entertainment,Professional Services",7,154800000,154800000,USD,2003-05-05,2016-02-15,,1001-5000,,,http://www.facebook.com/LinkedIn,http://www.linkedin.com/company/linkedin,http://twitter.com/linkedin,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1398126453/adu2g57bgen4u9lb1kb1.png",,,,company,1
com.vzone.gzone,022bddcc-e01a-a6de-91e9-b93cfcc5a9ee,Box,organization,box,https://www.crunchbase.com/organization/box,3644,2007-07-17 18:37:32,2019-09-09 18:49:01,"Box, Inc.","company,investor",box.com,http://www.box.com,USA,CA,California,Redwood City,900 Jefferson Ave,94063,ipo,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.","Cloud Computing,Enterprise Software,File Sharing,Flash Storage,SaaS,Web Hosting","Hardware,Internet Services,Software",12,558950000,558950000,USD,2005-01-01,2014-07-01,,1001-5000,sales@box.com,1(877) 729-4269,http://www.facebook.com/box,https://www.linkedin.com/company/box,https://twitter.com/box,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/sgl3yv0frllmkwyrqrbs",,,,company,
com.redfin.android,6515b4b2-6ade-e6ce-a21d-8f7d45998570,Redfin,organization,redfin,https://www.crunchbase.com/organization/redfin,590,2007-07-18 16:13:16,2019-08-06 05:14:44,Redfin Corporation,company,redfin.com,http://www.redfin.com/,USA,WA,Washington,Seattle,3055 112th Ave NE Suite 100,98004,ipo,Redfin is a provider of real estate search & brokerage services through a combination of real estate web platforms & access to live agents.,"Internet,Property Management,Real Estate","Internet Services,Real Estate",11,209620000,209620000,USD,2004-10-01,2015-06-01,,501-1000,customer-service@redfin.com,(877) 973-3346,http://www.facebook.com/redfin,http://www.linkedin.com/company/redfin,http://www.twitter.com/Redfin/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1501246013/evnzslds7sego0l3yjk5.png",Redfin.com ,Redfin Applications ,,company,
com.snapfish.mobile,51469caa-39ed-131d-1670-31eeb563bde4,Snapfish,organization,snapfish,https://www.crunchbase.com/organization/snapfish,71364,2007-08-03 19:51:41,2019-06-24 22:22:02,,company,snapfish.com,http://snapfish.com,USA,CA,California,San Francisco,"303 Second Street South Tower, Suite 500",94107,acquired,Snapfish is a photo sharing and hosting service that allows individuals to create customized digital prints and gifts using their photos.,"Internet,Photo Sharing,Photography","Content and Publishing,Internet Services,Media and Entertainment",2,43500000,43500000,USD,1999-01-01,2000-05-01,,251-500,service@snapfish.com,(800)558-8224,https://www.facebook.com/snapfish,https://in.linkedin.com/company/snapfish,http://twitter.com/snapfishbyhp,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397749266/1311e268e8d17957cf6f99f52b596cc0.jpg",,,,company,
com.imvu.mobilecordova,f1f92e31-3440-8a82-9508-8e5e32dfd212,IMVU,organization,imvu,https://www.crunchbase.com/organization/imvu,65006,2007-08-04 13:38:55,2019-04-01 23:49:26,"IMVU Inc.,",company,imvu.com,http://www.imvu.com,USA,CA,California,Redwood City,,,operating,"IMVU is a social entertainment website where members use 3D avatars to meet new people, play games, and develop online communities.","3D Technology,Gaming,Social Media,Virtual Currency","Financial Services,Gaming,Hardware,Internet Services,Media and Entertainment,Payments,Software",4,29000000,29000000,USD,2004-01-01,2009-01-22,,101-250,,16504562144,https://www.facebook.com/IMVU/,https://www.linkedin.com/company/imvu/,http://twitter.com/imvu,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397180815/1775661e06d5ad84b43e976153e155e9.png",,,,company,
psychic.love.reading,e2e99039-392f-fd5c-4edf-2902f938c4ea,Jimdo,organization,jimdo,https://www.crunchbase.com/organization/jimdo,13250,2007-08-15 18:07:35,2019-10-28 13:22:12,Jimdo GmbH,company,jimdo.com,http://www.jimdo.com,DEU,,Hamburg,Hamburg,Stresemannstrasse 375,22761,operating,"Jimdo enables users to create a website on a computer, smart phone or tablet using a simple intuitive interface.","Internet,Web Development","Internet Services,Software",3,28869396,25500000,EUR,2007-03-01,2015-06-08,,101-250,info@jimdo.com,+49 40 - 8 22 44 997,http://www.facebook.com/Jimdo,https://www.linkedin.com/company/167456,http://twitter.com/jimdo,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/txejrephtie8oh1rppy0",,,,company,
com.playperia.traficio,8adae63e-fac9-89fc-fcdf-3f161498ddd0,Weebly,organization,weebly,https://www.crunchbase.com/organization/weebly,37167,2007-08-16 12:32:08,2019-06-24 22:06:59,"Weebly, Inc.",company,weebly.com,http://www.weebly.com,USA,CA,California,San Francisco,"460 Bryant Street, #100",94107,acquired,"Weebly is a consumer service that lets people create a website, blog or online store.","Blogging Platforms,E-Commerce Platforms,Mobile","Commerce and Shopping,Content and Publishing,Internet Services,Media and Entertainment,Mobile",4,35670000,35670000,USD,2007-01-01,2014-04-22,,1001-5000,press@weebly.com,,http://www.facebook.com/weebly,http://www.linkedin.com/company/weebly,https://www.twitter.com/weebly,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/ajlvp3cqwepcrgidwdds",,,,company,
com.vzone.gzone,e6449ca5-2268-5cf7-96ca-b808a234da00,Dropbox,organization,dropbox,https://www.crunchbase.com/organization/dropbox,1438,2007-08-16 18:10:40,2019-10-07 07:48:53,Dropbox Inc.,"company,investor",dropbox.com,http://www.dropbox.com,USA,CA,California,San Francisco,,94107,ipo,"Dropbox provides secure file sharing, collaboration, and storage solutions.","Collaboration,Enterprise Software,File Sharing,Private Cloud,Web Hosting","Hardware,Information Technology,Internet Services,Software",9,1707215000,1707215000,USD,2007-06-01,2017-03-30,,1001-5000,,,http://www.facebook.com/Dropbox,http://www.linkedin.com/company/dropbox,http://twitter.com/Dropbox,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/mztb0jk0kq38qztzdfve",,,,company,
com.eharmony,61a357f9-24ac-5159-9b71-bf09855d961b,eHarmony,organization,eharmony,https://www.crunchbase.com/organization/eharmony,65610,2007-08-22 16:37:28,2019-06-12 21:29:57,,"company,investor",eharmony.com,http://eharmony.com,USA,CA,California,Santa Monica,2401 Colorado Avenue Suite A200,90404,acquired,eHarmony is an online dating website that matches highly compatible singles with each other.,"Dating,Internet,Social Network","Community and Lifestyle,Internet Services",2,113000000,113000000,USD,1999-12-01,2004-11-01,,101-250,,,http://www.facebook.com/eharmony,https://www.linkedin.com/company-beta/16002,http://twitter.com/eHarmony,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1481830610/crii90g3kfnagrwus59u.png",,,,company,1
