app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
com.lemonadeinc.lemonade,1ebaa59b-7035-75d2-316d-e7b35b8a82ed,Lemonade,organization,lemonade,https://www.crunchbase.com/organization/lemonade,322,2008-04-22 23:55:28,2019-06-24 22:10:46,"Lemonade, Inc.",company,lemonade.com,https://www.lemonade.com/,USA,NY,New York,New York,Manhattan,10004,operating,"Lemonade is a full stack insurance company powered by AI and behavioral economics, and driven by social good.","Artificial Intelligence,Financial Services,Insurance,InsurTech","Artificial Intelligence,Data and Analytics,Financial Services,Science and Engineering,Software",7,480000000,480000000,USD,2015-01-01,2019-07-01,,101-250,help@lemonade.com,,https://www.facebook.com/lemonade,https://www.linkedin.com/company/lemonade-inc-/,https://twitter.com/lemonade_inc,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1482876670/dbd0b5xelwehlhj23t35.jpg",,,,company,
com.DGMBDrawDown.Levonfoster,8bb8f294-4617-2031-5d2e-8ca53ffb71dd,Unity Technologies,organization,unity-technologies,https://www.crunchbase.com/organization/unity-technologies,29,2009-03-06 20:33:49,2019-09-23 18:48:40,"Unity Technologies, Inc.",company,unity3d.com,http://unity3d.com,USA,CA,California,San Francisco,795 Folsom Street Suite 200,CA 94107,operating,Unity is the creator of the world’s leading real-time 3D development platform.,"3D Technology,Advertising,Analytics,Augmented Reality,Automotive,Enterprise Software,Film,Video Games,Virtual Reality","Advertising,Data and Analytics,Gaming,Hardware,Media and Entertainment,Sales and Marketing,Software,Transportation,Video",8,1251300000,1251300000,USD,2004-08-02,2019-07-25,,1001-5000,info@unity3d.com,(415) 539-3162,http://www.facebook.com/unity3d,http://www.linkedin.com/company/unity-technologies,http://twitter.com/unity3d,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1412921346/nnzir0xhukjpbpmctwy9.jpg",,,,company,
com.thredup.android,dd4f4281-c144-921d-7d7d-03c0dbbe372d,thredUP,organization,thredup,https://www.crunchbase.com/organization/thredup,1141,2009-03-15 22:24:10,2019-08-22 15:42:22,ThredUp Inc.,company,thredup.com,http://www.thredup.com,USA,CA,California,San Francisco,114 Sansome St 5th Floor,94104,operating,thredUP is a fashion resale marketplace that enables individuals to buy and sell clothing for women and children.,"E-Commerce,Fashion,Retail,Retail Technology,Shopping,Sustainability","Clothing and Apparel,Commerce and Shopping,Design,Hardware,Software,Sustainability",8,381120000,381120000,USD,2009-01-01,2019-08-21,,1001-5000,team@thredup.com,,http://www.facebook.com/thredup,https://www.linkedin.com/company/thredup,http://twitter.com/thredup,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1498580875/em51clgrogzyr8bhzqt4.png",,,,company,
com.thumbtack.pro,8e59bf9f-3b0f-5011-e12e-937d0a1bcd13,Thumbtack,organization,thumbtack,https://www.crunchbase.com/organization/thumbtack,669,2009-11-25 22:21:51,2019-03-29 23:09:06,"Thumbtack, Inc.",company,thumbtack.com,https://www.thumbtack.com,USA,CA,California,San Francisco,360 9th Street,94103,operating,Thumbtack is an online marketplace that connects millions of people with local professionals for their projects.,"Home Services,Professional Services,Service Industry",Real Estate,7,423200000,423200000,USD,2008-01-01,2019-07-22,,501-1000,support@thumbtack.com,415-779-2191,https://www.facebook.com/Thumbtack,https://www.linkedin.com/company/thumbtack-inc.,https://twitter.com/thumbtack,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/tfivltotwskrwk7tuwge",,,,company,
com.flipkart.android,43b9e775-b843-f194-fb96-d266684cfb53,Flipkart,organization,flipkart,https://www.crunchbase.com/organization/flipkart,309,2010-06-02 12:42:21,2018-10-26 22:15:41,Flipkart Internet Pvt Ltd.,"company,investor",flipkart.com,https://www.flipkart.com/,IND,,Karnataka,Bengaluru,"7th Mile, Hosur Road AKR Tech Park, 1st floor Block 'C' Krishna, Reddy Industrial Area",560068,acquired,Flipkart owns and operates an online shopping website with a registered customer base of over 100 million. ,"E-Commerce,Grocery,Internet,Retail,Shopping","Commerce and Shopping,Food and Beverage,Internet Services",21,7717996336,7717996336,USD,2007-01-01,2019-09-10,,10000+,cs@flipkart.com,800 208 9898,https://www.facebook.com/flipkart,https://www.linkedin.com/company/flipkart/,https://twitter.com/flipkart,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/nx598tedbjr4p88v6aww",Flipkart Online Services,,,company,2
com.creditsesame,75685ae6-5ba1-0ffb-80ba-3c0bf539e04d,Credit Sesame,organization,credit-sesame,https://www.crunchbase.com/organization/credit-sesame,1485,2010-08-07 08:27:05,2019-03-25 19:43:13,"Credit Sesame, Inc.",company,creditsesame.com,http://www.CreditSesame.com,USA,CA,California,Mountain View,607 A West Dana St.,94041,operating,Credit Sesame makes consumer credit and loan management simple and automated,"Consumer,Credit,Credit Cards,Finance,FinTech","Financial Services,Lending and Investments,Payments",8,120450000,120450000,USD,2010-04-01,2019-08-30,,51-100,,650-539-4146,http://www.facebook.com/creditsesame,http://www.linkedin.com/company/1098518,http://twitter.com/creditsesame,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397189050/954e7a00289073a976b8398250362e84.png",Creditsesame.com,"Credit Sesame, Inc. ",,company,
com.grammarly.android.keyboard,8ac26479-1107-1627-4e02-9a729c423d90,Grammarly,organization,grammarly,https://www.crunchbase.com/organization/grammarly,1609,2011-01-22 08:41:00,2019-10-22 23:46:46,"Grammarly, Inc.",company,grammarly.com,http://www.grammarly.com,USA,CA,California,San Francisco,"548 Market Street, #35410",94104,operating,Grammarly is a digital writing assistant that helps people write more clearly and effectively.,"Apps,Artificial Intelligence,Assistive Technology,Blogging Platforms,Machine Learning,Mobile Apps,Productivity Tools,Software","Apps,Artificial Intelligence,Content and Publishing,Data and Analytics,Health Care,Media and Entertainment,Mobile,Science and Engineering,Software",2,200000000,200000000,USD,2009-04-01,2019-10-10,,251-500,info@grammarly.com,,http://www.facebook.com/grammarly,http://www.linkedin.com/company/grammarly,http://twitter.com/grammarly,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/owqjw8prtldczrfyi2fn",,,,company,
com.scopely.startrek,1e5307ed-cc85-5a83-72a5-1700f392297b,Scopely,organization,scopely,https://www.crunchbase.com/organization/scopely,65,2011-03-23 13:27:43,2019-10-29 14:24:54,"Scopely, Inc.","company,investor",scopely.com,http://www.scopely.com,USA,CA,California,Culver City,3530 Hayden Ave. Ste. A,90232,operating,Scopely is an interactive entertainment and mobile games company.,"Casual Games,Developer Platform,Machine Learning,Mobile","Artificial Intelligence,Data and Analytics,Gaming,Mobile,Software",9,458700000,458700000,USD,2011-01-01,2019-10-28,,251-500,info@scopely.com,,http://www.facebook.com/ScopelyLA,http://www.linkedin.com/company/2057437,http://twitter.com/scopely,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1409944572/x4dwoevklkpg1twjtdei.png",,,,company,1
com.postmates.android,1942485b-4e5f-ca5d-767f-db23a8fbc817,Postmates,organization,postmates,https://www.crunchbase.com/organization/postmates,116,2011-04-03 03:02:26,2019-08-01 07:46:47,Postmates Inc.,company,postmates.com,https://postmates.com/,USA,CA,California,San Francisco,690 5th Street,94107,operating,"Postmates powers local, on-demand logistics focused on fast deliveries from any type of merchant at scale.","Delivery,Food Delivery,Logistics,Same Day Delivery,Transportation","Administrative Services,Food and Beverage,Transportation",12,903010000,903010000,USD,2011-03-01,2019-09-19,,501-1000,help@postmates.com,,https://www.facebook.com/Postmates,https://www.linkedin.com/company/postmates,https://twitter.com/postmates,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/bxak1ha3nvzq0kmtdu4i",,,,company,
com.dashlane,cb1d7d46-ca74-c0c3-02f0-576dd57360f1,Dashlane,organization,dashlane,https://www.crunchbase.com/organization/dashlane,967,2011-05-09 00:12:33,2019-04-15 17:06:05,Dashlane Inc.,company,dashlane.com,http://www.dashlane.com,USA,NY,New York,New York,,,operating,"Dashlane is a password manager and digital wallet, designed to make identity and payment simple and secure.","Cloud Computing,Identity Management,Payments,Privacy,Security,Software","Financial Services,Information Technology,Internet Services,Payments,Privacy and Security,Software",8,210900000,210900000,USD,2009-07-06,2019-05-30,,101-250,contact@dashlane.com,,http://www.facebook.com/GetDashlane,http://www.linkedin.com/company/dashlane,http://twitter.com/dashlane,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/u47qsjy1orzjwow3t0h0",,,,company,
