app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,country_code,state_code,region,city,investment_type,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code,post_money_valuation_usd,post_money_valuation,post_money_valuation_currency_code,investor_count,org_uuid,org_name,lead_investor_uuids
com.farmcrowdy.farmcrowdyfarmers,139c0efc-29a4-4e56-b2a3-97b948102968,Seed Round - Farmcrowdy,funding_round,farmcrowdy-seed--139c0efc,https://www.crunchbase.com/funding_round/farmcrowdy-seed--139c0efc,9707,2019-03-21 10:10:10,2019-03-21 10:10:10,NGA,,Lagos,Lagos,seed,2019-03-21,1000000,1000000,USD,,,USD,3,e15297ea-98bd-4768-abfc-d5a01cc73f50,Farmcrowdy,
com.ss.android.ugc.trill,a9d457d8-16dc-4a87-94cc-5c49f1736d53,Debt Financing - ByteDance,funding_round,bytedance-debt-financing--a9d457d8,https://www.crunchbase.com/funding_round/bytedance-debt-financing--a9d457d8,10139,2019-04-10 08:34:06,2019-04-10 08:34:06,CHN,,Shanghai,Shanghai,debt_financing,2019-04-10,1300000000,1300000000,USD,,,USD,4,47f9688f-00a9-23f9-3a64-179bc6dd31d4,ByteDance,"30b3efdf-6024-804d-ea55-c4d1a8dfc86c,0d33753d-a1d4-1b5e-7dae-b4c4a046513c"
haygot.togyah.app,71402dfb-0fdc-4935-b963-78db18c97a64,Debt Financing - Toppr,funding_round,toppr-debt-financing--71402dfb,https://www.crunchbase.com/funding_round/toppr-debt-financing--71402dfb,28127,2019-04-10 08:40:40,2019-04-10 08:40:40,IND,,Maharashtra,Mumbai,debt_financing,2019-04-10,6362960,440000000,INR,,,USD,1,13cd712c-8db6-e963-f421-ed6f80569fd8,Toppr,586629ea-edec-4564-aeac-37c0c2a73289
com.fintonic,1f2c8c77-fdc1-4f19-a468-b07ffc9c834a,Series C - fintonic,funding_round,fintonic-series-c--1f2c8c77,https://www.crunchbase.com/funding_round/fintonic-series-c--1f2c8c77,18832,2019-04-12 04:14:00,2019-04-12 04:16:16,ESP,,Madrid,Madrid,series_c,2019-04-11,21400000,21400000,USD,180000000,180000000,USD,2,df0d9897-4cc0-b52c-355e-a43943a746a4,fintonic,753b910f-b641-4abd-ad27-56360b817502
com.dashlane,795bfe03-bd52-40a6-a288-f0735346c68d,Debt Financing - Dashlane,funding_round,dashlane-debt-financing--795bfe03,https://www.crunchbase.com/funding_round/dashlane-debt-financing--795bfe03,18443,2019-04-13 02:03:57,2019-04-13 02:03:57,USA,NY,New York,New York,debt_financing,2019-04-12,30000000,30000000,USD,,,USD,1,cb1d7d46-ca74-c0c3-02f0-576dd57360f1,Dashlane,a5fb3edb-a429-eed0-52f2-5913fd4bd141
com.nextdoor,28dd522a-1125-4855-a3a2-7917ada4bba3,Series F - Nextdoor,funding_round,nextdoor-series-f--28dd522a,https://www.crunchbase.com/funding_round/nextdoor-series-f--28dd522a,6080,2019-05-14 12:22:02,2019-05-15 03:54:18,USA,CA,California,San Francisco,series_f,2019-05-14,123000000,123000000,USD,2100000000,2100000000,USD,4,5f6772ef-a9f2-d059-9cd5-7af6bbeb85d2,Nextdoor,251caa8f-e3e6-138b-2136-3e097bb439a2
com.clerkie.clerkieandroid,ebb68e5e-76bf-469a-a2fb-b86ad9633505,Seed Round - Clerkie,funding_round,clerkie-seed--ebb68e5e,https://www.crunchbase.com/funding_round/clerkie-seed--ebb68e5e,20898,2019-05-22 04:31:33,2019-05-22 04:31:33,USA,CA,California,San Francisco,seed,2019-05-21,2000000,2000000,USD,,,USD,1,c361871a-ee18-4c13-8450-5572dfea6cef,Clerkie,cff30e78-1a5b-402a-9bda-b3a76ef952df
com.dashlane,82933e14-a9df-4840-bbaa-05589a2abf12,Series D - Dashlane,funding_round,dashlane-series-d--82933e14,https://www.crunchbase.com/funding_round/dashlane-series-d--82933e14,4091,2019-05-30 11:22:08,2019-06-21 18:57:59,USA,NY,New York,New York,series_d,2019-05-30,110000000,110000000,USD,,,USD,4,cb1d7d46-ca74-c0c3-02f0-576dd57360f1,Dashlane,0c867fde-2b9a-df10-fdb9-66b74f355f91
com.varomoney.varo,70c2a0cb-8be0-4ed8-ba17-b9c068773e8f,Series C - Varo Money,funding_round,varo-money-series-c--70c2a0cb,https://www.crunchbase.com/funding_round/varo-money-series-c--70c2a0cb,6690,2019-06-03 21:50:33,2019-07-18 04:04:22,USA,CA,California,San Francisco,series_c,2019-07-16,100000000,100000000,USD,,,USD,3,5ecf0545-2ad1-2828-5d52-2e15a17f68d8,Varo Money,
com.fabhotels.guests,a7f84ff2-8142-40ea-b36c-e8f51dfa7097,Series B - Fabhotels,funding_round,fabhotels-series-b--a7f84ff2,https://www.crunchbase.com/funding_round/fabhotels-series-b--a7f84ff2,6454,2019-06-04 04:51:27,2019-07-17 20:15:09,IND,,Haryana,Gurgaon,series_b,2019-06-04,7860000,7860000,USD,900000000,900000000,USD,3,bd99eaa0-026e-a702-3d0b-323b8d055a42,Fabhotels,30b3efdf-6024-804d-ea55-c4d1a8dfc86c
in.droom,3fe10f70-f01e-44c2-82f9-1b875f5c8278,Series F - Droom,funding_round,droom-series-f--3fe10f70,https://www.crunchbase.com/funding_round/droom-series-f--3fe10f70,28835,2019-06-20 10:59:14,2019-06-20 10:59:14,IND,,Haryana,Haryana,series_f,2019-06-20,10000000,10000000,USD,,,USD,,a38aa32e-60fc-4fff-874d-6cb8de8f227c,Droom,
com.mfine,0b806fc6-b46a-4de7-a775-79bca351cc59,Debt Financing - mfine,funding_round,mfine-debt-financing--0b806fc6,https://www.crunchbase.com/funding_round/mfine-debt-financing--0b806fc6,9841,2019-07-02 11:53:47,2019-07-02 12:03:33,IND,,Karnataka,Bengaluru,debt_financing,2019-07-02,4500000,4500000,USD,,,USD,1,eb766ca7-213b-3c92-2746-0c0e49b5ef91,mfine,6db631ac-a589-435c-9143-d24e65b61f0b
com.zoomcar,245ab3c3-97db-447d-b355-a583ddc771a1,Venture Round - ZoomCar,funding_round,zoomcar-india-series-unknown--245ab3c3,https://www.crunchbase.com/funding_round/zoomcar-india-series-unknown--245ab3c3,13796,2019-07-11 03:43:13,2019-07-11 04:25:31,IND,,Karnataka,Bangalore,series_unknown,2019-07-10,11350000,11350000,USD,,,USD,1,b2ecca9d-0905-3f23-2fb5-bef1baf8177f,ZoomCar,c55ab36e-e238-80aa-3a70-4a423fb77213
com.thumbtack.consumer,46e0f38f-d158-4c47-8331-3c276e6e0e00,Series F - Thumbtack,funding_round,thumbtack-series-f--46e0f38f,https://www.crunchbase.com/funding_round/thumbtack-series-f--46e0f38f,4193,2019-07-23 03:39:37,2019-07-23 03:42:24,USA,CA,California,San Francisco,series_f,2019-07-22,150000000,150000000,USD,1700000000,1700000000,USD,2,8e59bf9f-3b0f-5011-e12e-937d0a1bcd13,Thumbtack,0c867fde-2b9a-df10-fdb9-66b74f355f91
com.moneylion,5e7f14d2-54bb-46c8-b7e1-b2eff3706b44,Series C - MoneyLion,funding_round,moneylion-series-c--5e7f14d2,https://www.crunchbase.com/funding_round/moneylion-series-c--5e7f14d2,3589,2019-07-23 04:38:57,2019-07-24 11:09:38,USA,NY,New York,New York,series_c,2019-07-22,100000000,100000000,USD,,,USD,5,56ac2e47-bc63-b3b3-de12-d71c1b695dfe,MoneyLion,"091ce620-7776-ba9a-24b4-d7a67205acd1,c6c5c231-6315-6ca7-3405-7eb0f99e14da"
com.kiki.kiki,0aa037ce-dec4-4ab9-8fdf-c5dc7d3c6099,Seed Round - KiKi,funding_round,kiki-seed--0aa037ce,https://www.crunchbase.com/funding_round/kiki-seed--0aa037ce,13094,2019-07-25 12:57:34,2019-07-25 12:57:34,USA,CA,California,San Francisco,seed,2019-07-22,150000,150000,USD,,,USD,1,5c31b09e-7d0c-43b3-9bbb-50faf52cc306,KiKi,56e40f50-97c7-2a77-255d-1d97d5f30646
com.muzmatch.muzmatchapp,be6fadd5-4d97-4000-91d7-2470ef02dfd5,Series A - Muzmatch,funding_round,muzmatch-series-a--be6fadd5,https://www.crunchbase.com/funding_round/muzmatch-series-a--be6fadd5,6172,2019-07-25 14:28:37,2019-07-25 14:28:37,GBR,,England,London,series_a,2019-07-23,7000000,7000000,USD,,,USD,2,b18218d3-74e3-a003-d1a3-5ea613230a77,Muzmatch,16497788-82da-f0ed-2e9f-4f45ae314e5a
com.phonepe.app,9f4d7180-ef80-4533-b7fb-3037a812c271,Corporate Round - PhonePe,funding_round,phonepe-corporate-round--9f4d7180,https://www.crunchbase.com/funding_round/phonepe-corporate-round--9f4d7180,12880,2019-07-30 04:21:12,2019-07-30 04:21:12,IND,,Delhi,New Delhi,corporate_round,2019-07-30,101380747,6979000000,INR,,,USD,1,23bbc3ed-8d2c-cf58-e235-c9ac762dec93,PhonePe,43b9e775-b843-f194-fb96-d266684cfb53
