app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
com.cbs.app,f09c1228-2e7d-1889-6647-ba5021b2e4ea,CBS,organization,cbs,https://www.crunchbase.com/organization/cbs,11836,2007-06-09 14:30:10,2019-10-04 06:18:51,CBS Corporation,"company,investor",cbs.com,http://www.cbs.com,USA,NY,New York,New York,51 W. 52nd Street,10019,operating,CBS is an online platform that offers the latest news and information from San Diego.,"Broadcasting,Media and Entertainment,Mobile,Music,News,Sports,Wireless","Content and Publishing,Hardware,Media and Entertainment,Mobile,Music and Audio,Sports,Video",,,,,1986-01-01,,,5001-10000,,,http://www.facebook.com/CBS,,http://twitter.com/CBS,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/qpaljoy2eyy5kzisyi0o",,,,company,1
com.lifelock.memberapp,b93d25ff-cf38-929e-57a6-b40bf77db9ca,LifeLock,organization,lifelock,https://www.crunchbase.com/organization/lifelock,4386,2007-06-18 18:31:31,2018-12-07 06:42:54,"LifeLock, Inc.",company,lifelock.com,http://www.lifelock.com,USA,AZ,Arizona,Tempe,60 E. Rio Salado Pkwy Suite 400,85281,acquired,LifeLock is an identity theft protection company that protects its members' personal information from being used by a third party.,"Consumer,Security,Service Industry",Privacy and Security,7,201340000,201340000,USD,2005-08-01,2016-05-21,,501-1000,member.feedback@lifelock.com,800-416-0599,http://www.facebook.com/LifeLock,http://www.linkedin.com/company/lifelock,http://twitter.com/LifeLock,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1477322420/fjc9krddcthw4xs15vl5.jpg",,,,company,
com.asiminc.flashlight.torch,86da6213-5b43-6419-4047-472102ccf66f,LinkedIn,organization,linkedin,https://www.crunchbase.com/organization/linkedin,1783,2007-07-17 11:21:55,2019-04-01 23:49:04,LinkedIn Corporation,"company,investor",linkedin.com,http://linkedin.com,USA,CA,California,Sunnyvale,,,acquired,"LinkedIn, a professional networking site, allows its members to create business connections, search for jobs, and find potential clients.","Professional Networking,Professional Services,Recruiting,Social Media,Social Recruiting","Community and Lifestyle,Internet Services,Media and Entertainment,Professional Services",7,154800000,154800000,USD,2003-05-05,2016-02-15,,1001-5000,,,http://www.facebook.com/LinkedIn,http://www.linkedin.com/company/linkedin,http://twitter.com/linkedin,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1398126453/adu2g57bgen4u9lb1kb1.png",,,,company,1
com.redfin.android,6515b4b2-6ade-e6ce-a21d-8f7d45998570,Redfin,organization,redfin,https://www.crunchbase.com/organization/redfin,590,2007-07-18 16:13:16,2019-08-06 05:14:44,Redfin Corporation,company,redfin.com,http://www.redfin.com/,USA,WA,Washington,Seattle,3055 112th Ave NE Suite 100,98004,ipo,Redfin is a provider of real estate search & brokerage services through a combination of real estate web platforms & access to live agents.,"Internet,Property Management,Real Estate","Internet Services,Real Estate",11,209620000,209620000,USD,2004-10-01,2015-06-01,,501-1000,customer-service@redfin.com,(877) 973-3346,http://www.facebook.com/redfin,http://www.linkedin.com/company/redfin,http://www.twitter.com/Redfin/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1501246013/evnzslds7sego0l3yjk5.png",Redfin.com ,Redfin Applications ,,company,
com.imvu.mobilecordova,f1f92e31-3440-8a82-9508-8e5e32dfd212,IMVU,organization,imvu,https://www.crunchbase.com/organization/imvu,65006,2007-08-04 13:38:55,2019-04-01 23:49:26,"IMVU Inc.,",company,imvu.com,http://www.imvu.com,USA,CA,California,Redwood City,,,operating,"IMVU is a social entertainment website where members use 3D avatars to meet new people, play games, and develop online communities.","3D Technology,Gaming,Social Media,Virtual Currency","Financial Services,Gaming,Hardware,Internet Services,Media and Entertainment,Payments,Software",4,29000000,29000000,USD,2004-01-01,2009-01-22,,101-250,,16504562144,https://www.facebook.com/IMVU/,https://www.linkedin.com/company/imvu/,http://twitter.com/imvu,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397180815/1775661e06d5ad84b43e976153e155e9.png",,,,company,
com.vzone.gzone,e6449ca5-2268-5cf7-96ca-b808a234da00,Dropbox,organization,dropbox,https://www.crunchbase.com/organization/dropbox,1438,2007-08-16 18:10:40,2019-10-07 07:48:53,Dropbox Inc.,"company,investor",dropbox.com,http://www.dropbox.com,USA,CA,California,San Francisco,,94107,ipo,"Dropbox provides secure file sharing, collaboration, and storage solutions.","Collaboration,Enterprise Software,File Sharing,Private Cloud,Web Hosting","Hardware,Information Technology,Internet Services,Software",9,1707215000,1707215000,USD,2007-06-01,2017-03-30,,1001-5000,,,http://www.facebook.com/Dropbox,http://www.linkedin.com/company/dropbox,http://twitter.com/Dropbox,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/mztb0jk0kq38qztzdfve",,,,company,
com.eharmony,61a357f9-24ac-5159-9b71-bf09855d961b,eHarmony,organization,eharmony,https://www.crunchbase.com/organization/eharmony,65610,2007-08-22 16:37:28,2019-06-12 21:29:57,,"company,investor",eharmony.com,http://eharmony.com,USA,CA,California,Santa Monica,2401 Colorado Avenue Suite A200,90404,acquired,eHarmony is an online dating website that matches highly compatible singles with each other.,"Dating,Internet,Social Network","Community and Lifestyle,Internet Services",2,113000000,113000000,USD,1999-12-01,2004-11-01,,101-250,,,http://www.facebook.com/eharmony,https://www.linkedin.com/company-beta/16002,http://twitter.com/eHarmony,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1481830610/crii90g3kfnagrwus59u.png",,,,company,1
com.trulia.android,6a4a2e74-0801-24b7-d755-881b07025f17,Trulia,organization,trulia,https://www.crunchbase.com/organization/trulia,19867,2007-08-22 20:24:14,2018-11-30 09:08:15,Trulia Inc.,company,trulia.com,http://trulia.com,USA,CA,California,San Francisco,535 Mission St. Suite 700,94105,acquired,Trulia is a home and neighborhood site for buyers and renters to find homes and neighborhoods across the United States.,"Internet,Mobile Apps,Real Estate,Rental","Apps,Commerce and Shopping,Internet Services,Mobile,Real Estate,Software",5,255100000,255100000,USD,2005-09-23,2013-12-18,,501-1000,customerservice@trulia.com,,http://www.facebook.com/trulia,http://www.linkedin.com/company/trulia,http://twitter.com/trulia,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1489036023/vdk0iidetcsi40avraym.png",,,,company,
com.zillow.android.zillowmap,00e435dd-f616-27b3-9128-58fb909d04b4,Zillow,organization,zillow,https://www.crunchbase.com/organization/zillow,259,2007-09-20 00:06:30,2019-04-01 23:49:09,"Zillow, Inc.","company,investor",zillow.com,http://www.zillow.com,USA,WA,Washington,Seattle,1301 Second Avenue Floor 31,98101,ipo,"Zillow is an online real estate marketplace for finding and sharing information about homes, real estate, and mortgages.","Marketplace,Online Portals,Real Estate","Commerce and Shopping,Internet Services,Real Estate",5,96627980,96627980,USD,2005-01-01,2012-12-12,,1001-5000,,,http://www.facebook.com/Zillow,http://www.linkedin.com/company/zillow,http://twitter.com/zillow,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1500275099/j2jcc1e5txlw573hwrd2.png"," Zillow, Inc.",,,company,
com.xoom.android.app,9921555e-1f0c-9404-6e89-24bc1641085b,Xoom,organization,xoom,https://www.crunchbase.com/organization/xoom,8517,2007-10-01 05:46:46,2019-06-24 21:46:10,Xoom Corporation,"company,investor",xoom.com,http://xoom.com,USA,CA,California,San Francisco,100 Bush Street Suite 300,94104,acquired,Xoom is a digital money transfer company that allows users to securely transfer money online.,"E-Commerce,Financial Services,Payments","Commerce and Shopping,Financial Services,Payments",7,104349000,104349000,USD,2001-03-01,2011-11-22,,101-250,,(877) 815-1531,http://www.facebook.com/Xoom/info,http://www.linkedin.com/company/xoom-corporation,http://twitter.com/xoom,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1492069584/v0eculja26qwzbrspsut.png",,,,company,1
